,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9132149901380671,0.6842105263157895,0.9444444444444444,0.8808777429467085,0.8472899869661003,0.8813019855878992
recall,0.9448979591836735,0.6770833333333334,0.6538461538461539,0.8808777429467085,0.7586091487877202,0.8808777429467085
f1-score,0.9287863590772317,0.680628272251309,0.7727272727272727,0.8808777429467085,0.7940473013519377,0.8787264079401056
support,490.0,96.0,52.0,0.8808777429467085,638.0,638.0
