,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9438877755511023,0.7647058823529411,0.8888888888888888,0.9153605015673981,0.865827515597644,0.9124435688842392
recall,0.9612244897959183,0.6770833333333334,0.9230769230769231,0.9153605015673981,0.8537949154020582,0.9153605015673981
f1-score,0.9524772497472194,0.7182320441988951,0.9056603773584906,0.9153605015673981,0.8587898904348684,0.9134145270248792
support,490.0,96.0,52.0,0.9153605015673981,638.0,638.0
