,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.945631067961165,0.8701298701298701,0.9130434782608695,0.9341692789968652,0.9096014721173016,0.9316143443620746
recall,0.9938775510204082,0.6979166666666666,0.8076923076923077,0.9341692789968652,0.833162175126461,0.9341692789968652
f1-score,0.9691542288557214,0.7745664739884393,0.8571428571428571,0.9341692789968652,0.8669545199956726,0.9307451131874956
support,490.0,96.0,52.0,0.9341692789968652,638.0,638.0
