,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.942,0.7647058823529411,0.9056603773584906,0.9153605015673981,0.8707887532371439,0.9123606650917303
recall,0.9612244897959183,0.6770833333333334,0.9230769230769231,0.9153605015673981,0.8537949154020582,0.9153605015673981
f1-score,0.9515151515151515,0.7182320441988951,0.9142857142857143,0.9153605015673981,0.8613443033332536,0.9133786169723751
support,490.0,96.0,52.0,0.9153605015673981,638.0,638.0
